channel_name	channel_code	alias_name
湖南公共	hn_gg	湖南公共频道/湖南公共/湖南电视台公共频道/湖南电视台公共/湖南台公共/湖南公共台
快乐购物	kuaile_gw	快乐购/湖南电视台快乐购物频道/湖南电视台快乐购物/湖南购物/湖南卫视快乐购/快乐go/湖南快乐购物/湖南台快乐购/快乐购物
金鹰纪实	aniworld_j	金鹰纪实频道/金鹰纪实/湖南经济电视台金鹰纪实频道/湖南经济电视台金鹰纪实/湖南etv金鹰纪实/湖南经济电视台生活频道/湖南经济电视台生活/湖南经济金鹰纪实频道/湖南经济金鹰纪实/湖南经济台金鹰纪实频道/湖南经济台金鹰纪实/金鹰纪实频道  湖南经视/湖南金鹰纪实频道/湖南金鹰纪实
金鹰卡通	aniworld_k	湖南金鹰卡通频道/湖南金鹰卡通/湖南电视台金鹰卡通频道/湖南电视台金鹰卡通/湖南台金鹰卡通频道/湖南台金鹰卡通/金鹰卡通/湖南卫视金鹰卡通频道/湖南卫视金鹰卡通/湖南金鹰卡通卫视/金鹰卡通频道
潇湘电影	xiaoxiang_	湖南潇湘电影频道/湖南潇湘电影/湖南电视台潇湘电影频道/湖南电视台潇湘电影/湖南台潇湘电影频道/湖南台潇湘电影/潇湘电影/湖南潇湘电影台/潇湘电影频道/潇湘电影台/湖南电影/湖南电影频道
家庭消费	jiatingxia	家庭消费
卡酷少儿	kaku_se	卡酷少儿
湖南经视高清	hn_js_hd	湖南经视高清
DOX映画	dox_yh	dox映画/dox映画高清/dox影画/映画频道/映画/星元映画/dox电影/dox影院/经典电影频道/经典电影
DOX剧场	dox_jc	dox剧场/dox剧场高清/dox‧剧场/热播美剧频道/热播美剧
DOX新知	dox_xz	dox新知/dox‧新知/新知频道/新知/dox纪实/自然传奇频道/自然传奇
DOX新艺	dox_xy	dox新艺/dox‧新艺/新艺频道/新艺/环球新艺/dox时尚
DOX怡家	dox_yj	dox怡家/宝岛怡家/星元怡家
DOX院线	dox_yx	dox院线/dox院线频道/院线电影/星元院线/高清佳片有约
篮球	lanqiu	篮球频道/篮球
卫生健康	weishengji	卫生健康/sitv卫生健康/卫生健康频道/上海卫生健康频道/上海卫生健康
界面广告	jiemiangua	界面广告
天元围棋	tianyuanwe	天元围棋/中数传媒天元围棋/天元围棋频道/贵州电视台天元围棋频道/贵州电视台天元围棋/贵州天元围棋频道/贵州天元围棋
发现之旅	faxianzhil	发现之旅/cctv发现之旅频道/cctv发现之旅/央视数字电视发现之旅频道/央视数字电视发现之旅
环球奇观	huanqiuqig	环球奇观/环球奇观频道/cctv环球奇观频道/cctv环球奇观
书画	shuhua	书画频道/书画/中央电视台书画频道/中央电视台书画/中央数字电视书画频道/中央数字电视书画/中国书画频道/中国书画/央书画频道/央书画/cctv书画频道/cctv书画
北京纪实标清	bj_js_sd	北京纪实标清
国安导视	guoandaosh	国安导视
央广健康	yangguangj	央广健康/家庭健康频道/家庭健康/母婴健康/cnr care
宝贝家	baobeijia	宝贝家/宝贝家频道/宝贝家付费频道/宝贝家付费/宝贝家亲子频道/宝贝家亲子/育婴宝典
高尔夫	gaoerfu	高尔夫
欧洲足球	europe_zq	欧洲足球/欧洲足球台/欧洲足球频道/广东电视台欧洲足球频道/广东电视台欧洲足球
国防军事	guofang_js	国防军事/中数传媒国防军事/cctv国防军事频道/cctv国防军事/国防军事频道/国防军事台
摄影频道	sheying_pd	摄影频道/摄影/中数传媒摄影频道/中数传媒摄影/cctv摄影频道/cctv摄影/贵州电视台摄影频道/贵州电视台摄影/贵州摄影频道/贵州摄影/摄影指南/贵州摄影台
优优宝贝	youyoubaob	优优宝贝/优优宝贝频道/北广传媒优优宝贝/亲亲宝贝频道/亲亲宝贝
英语辅导	yingyufuda	英语辅导
收藏天下	shoucangti	收藏天下/收藏天下频道/山东电视台收藏天下频道/山东电视台收藏天下/山东台收藏天下频道/山东台收藏天下/数字电视收藏天下频道/数字电视收藏天下/天下收藏
七彩戏剧	qicai_xj	七彩戏剧/sitv七彩戏剧/sitv七彩戏剧频道/七彩戏剧频道/上海七彩戏剧频道/上海七彩戏剧/七彩剧场
金色频道	jinse	金色频道/金色/sitv金色频道/sitv金色/上海金色频道/上海金色
法治天下	fazhitianx	法治天地/sitv法治天地/sitv法治天地频道/法治天下/法治天下频道/上海法治天地频道/上海法治天地/法制天地/sitv法制天地/sitv法治天下
央视台球	cctv_tq	央视台球
家庭理财	family_lc	家庭理财/家庭理财频道/辽宁家庭理财
老年福	laonianfu	老年福/cctv老年福/中数传媒老年福/老年福频道/山西老年福频道/山西老年福/老年频道/老年
百姓健康	baixingjia	百姓健康/数字电视百姓健康频道/数字电视百姓健康/百姓健康频道/付费电视百姓健康
四海钓鱼	sihaidiaoy	四海钓鱼/四海钓鱼频道/央视数字电视四海钓鱼频道/央视数字电视四海钓鱼
快乐宠物	kuailechon	快乐宠物/广东快乐宠物频道/广东快乐宠物/广东电视台快乐宠物频道/广东电视台快乐宠物/宠物汇频道/宠物汇
现代房产	xiandaifan	现代房产
长株潭二	czt_2	长株潭二套/长株潭二/长株潭频道二/长株潭二台
长株潭三	czt_3	长株潭三套/长株潭三/长株潭3/长株潭频道三/长株潭三台
现代女性	xiandainvx	现代女性/中数传媒现代女性/现代女性频道/现代女性台
长沙公共	cs_gg	长沙公共频道/长沙公共/长沙电视台公共频道/长沙电视台公共/长沙台公共频道/长沙台公共/长沙公共台
科学生活	kexuesheng	科学生活
地方戏曲	difang_xq	地方戏曲/影视欣赏/大众影院/艺华影院
财富剧场	caifu	财富剧场
炫动卡通	xuandong_k	炫动卡通/上海炫动卡通/上海炫动卫视/炫动卡通卫视
证券资讯	zhengjuan_	证券资讯
郴州台	binzhou	郴州新闻综合/郴州电视台新闻综合频道/郴州电视台新闻综合/郴州台/郴州/郴州新闻综合台
嘉丽购物	jiali_gw	嘉丽购物
长沙新闻高清	cs_xw_hd	长沙新闻高清
长沙政法高清	cs_zf_hd	长沙政法高清
魅力音乐高清	wl_yy_hd	魅力音乐高清
劲爆体育高清	jb_ty_hd	劲爆体育高清/劲爆体育hd
全纪实高清	qjs_hd	全纪实高清
欢笑剧场高清	hljc_hd	欢笑剧场高清/欢笑剧场hd
优购物	you_gw	优购物
家有购物	youjia_gw	家有购物/吉视家有购物/贵州7台/贵州7
央广购物	yangguang_	央广购物
好享购物	haoxiang_g	好享购物频道/好享购物/江苏电视台好享购物频道/江苏电视台好享购物/好享购
购物版块	gouwu	购物版块
家家购物	jiajia_gw	家家购物/家家购/家家购物1
高清探索	ts_hd	高清探索频道/高清探索/天天高清探索/天华高清探索/天华探索/nvod探索/华尚高清探索/dv高清综艺/天天映像频道/天天映像/探索高清
高清体育	ty_hd	体育高清/高清体育
高清综艺	zy_hd	综艺高清/高清综艺
高清影视	ys_hd	高清影视频道/高清影视/天天高清影院/高清影院/天华高清影院/天华影院/天天高清影视/nvod影院/华尚高清影院/天华高清影视/dv高清影院/高清电影nvod/高清电视剧nvod/天天影院频道/天天影院/影视高清
卫视版块	weishi	卫视版块
上海纪实	shanghaiji	上海纪实
风尚购物	fengshang_	风尚购物频道/风尚购物/江西风尚购物频道/江西风尚购物
长沙县新闻综合	csx_xwzh	长沙县新闻综合
娄底综合	loudi_zh	娄底综合频道/娄底综合/娄底电视台综合频道/娄底电视台综合/娄底综合台
游戏风云高清	gamefy_hd	游戏风云高清
极速汽车高清	js_car_hd	极速汽车高清
搏击高清	fight_hd	搏击高清
陶瓷高清	ceramics_h	陶瓷高清
第一剧场	first_jc	第一剧场/中数传媒第一剧场/cctv第一剧场/央视第一剧场/第一剧场频道/中央第一剧场/第一剧场台
新科动漫	xinke_dm	新科动漫/cctv新科动漫/中央电视台新科动漫/央视新科动漫频道/央视新科动漫/新科频道/新科
风云音乐	fengyun_yy	风云音乐/中数传媒风云音乐/中央电视台收费频道风云音乐/cctv风云音乐/中央电视台风云音乐/风云音乐频道/风云音乐台
风云足球	fengyun_zq	风云足球/中数传媒风云足球/cctv风云足球/足球风云/cctv风云足球频道/足球风云频道/cctv风云足球台/足球风云台
